,IUPAC,SMILES1,SMILES2
51,"(S)-1-((3,5-dinitrobenzyl)oxy)-1-oxobut-3-en-2-aminium",[NH3+][C@@H](C=C)C(=O)OCc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,[N+](=O)([O-])C=1C=C(COC([C@H](C=C)[NH3+])=O)C=C(C1)[N+](=O)[O-]
52,Abz-CME,N[C@@H](CSSCCO)C([O-])=O,
53,3N-Abz-CME,N[C@@H](CSSCCO)C([O-])=O,
54,4N-Abz-CME,N[C@@H](CSSCCO)C([O-])=O,
55,4N-Abz-DNB,CCC(C(c1ccc(Cl)cc1)c2ccc(Cl)cc2)[N+]([O-])=O,
56,Abz-DNB,CCC(C(c1ccc(Cl)cc1)c2ccc(Cl)cc2)[N+]([O-])=O,
57,Apy-CME,N[C@@H](CSSCCO)C([O-])=O,
58,Abz,Nc1nc(Cc2c(Cl)ccc3[nH]ccc23)nc(Nc4ccc(cc4)C#N)n1,
59,5F-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
60,p-NO2-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
61,p-Cl-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
62,p-N3-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
63,p-OCH3-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
64,p-CH3-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
65,p-CH2N3-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
66,p-CH2NH2-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
67,p-OH-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
68,p-CH2OH-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
69,p-CHO-Bz-CME,N[C@@H](CSSCCO)C([O-])=O,
70,Mal-CBT,Clc1ccc(CN(Cc2ccc(Cl)cc2)c3n[nH]nn3)cc1,
71,Mal-DNB,CCC(C(c1ccc(Cl)cc1)c2ccc(Cl)cc2)[N+]([O-])=O,
72,Mal-Bz-DNB,CCC(C(c1ccc(Cl)cc1)c2ccc(Cl)cc2)[N+]([O-])=O,
